File Name,Circuit Status,Time Overall,Memory Usage
256_256_U_SP_AR_RC_GenMul_resyn3,correct,1876.79,2636244
256_256_U_SP_WT_RC_GenMul_resyn3,correct,1936.02,2247724
256_256_U_SP_DT_SE_GenMul_resyn3,correct,1954.53,2123120
256_256_U1_DT_RC_Multgen_resyn3,correct,2052.02,2040620
256_256_U_SP_AR_KS_GenMul_resyn3,correct,2077.76,2742012
256_256_U1_4to2_RC_Multgen_resyn3,buggy,2103.86,2185680
256_256_U_SP_DT_RC_GenMul_resyn3,correct,2178.1,2198592
256_256_U1_WT_RC_Multgen_resyn3,correct,2247.84,2318840
256_256_U_SP_AR_SE_GenMul_resyn3,correct,2324.36,2719100
256_256_U_SP_WT_SE_GenMul_resyn3,correct,2343.34,2147572
256_256_U_SP_WT_BK_GenMul_resyn3,correct,2592.08,2405812
256_256_U_SP_DT_BK_GenMul_resyn3,correct,2666.65,2370136
256_256_U_SP_AR_CK_GenMul_resyn3,UNKNOWN,,MO
256_256_U_SP_AR_CL_GenMul_resyn3,UNKNOWN,,MO
256_256_U_SP_DT_CL_GenMul_resyn3,UNKNOWN,,MO
256_256_U_SP_DT_CK_GenMul_resyn3,UNKNOWN,,MO
256_256_U_SP_WT_CL_GenMul_resyn3,UNKNOWN,,MO
256_256_U_SP_WT_CK_GenMul_resyn3,UNKNOWN,,MO
256_256_U2_4to2_BK_Multgen_resyn3,UNKNOWN,TO,
256_256_U2_DT_LF_Multgen_resyn3,UNKNOWN,TO,
256_256_U2_WT_KS_Multgen_resyn3,UNKNOWN,TO,
256_256_U_SP_CWT_RC_GenMul_resyn3,UNKNOWN,TO,
256_256_U2_DT_HCA_Multgen_resyn3,UNKNOWN,TO,
256_256_U_SP_DT_KS_GenMul_resyn3,UNKNOWN,TO,
256_256_U_SP_CWT_CL_GenMul_resyn3,UNKNOWN,TO,
256_256_U1_DT_JCA_Multgen_resyn3,UNKNOWN,TO,
256_256_U1_DT_BK_Multgen_resyn3,UNKNOWN,TO,
256_256_U_SP_CWT_CK_GenMul_resyn3,UNKNOWN,TO,
256_256_U2_4to2_HCA_Multgen_resyn3,UNKNOWN,TO,
256_256_U_SP_AR_LF_GenMul_resyn3,UNKNOWN,TO,
256_256_U1_WT_KS_Multgen_resyn3,UNKNOWN,TO,
256_256_U1_4to2_HCA_Multgen_resyn3,UNKNOWN,TO,
256_256_U1_4to2_BK_Multgen_resyn3,UNKNOWN,TO,
256_256_U2_DT_BK_Multgen_resyn3,UNKNOWN,TO,
256_256_U1_WT_BK_Multgen_resyn3,UNKNOWN,TO,
256_256_U2_4to2_JCA_Multgen_resyn3,UNKNOWN,TO,
256_256_U_SP_DT_LF_GenMul_resyn3,UNKNOWN,TO,
256_256_U2_WT_BK_Multgen_resyn3,UNKNOWN,TO,
256_256_U2_DT_RC_Multgen_resyn3,UNKNOWN,TO,
256_256_U1_WT_HCA_Multgen_resyn3,UNKNOWN,TO,
256_256_U1_DT_LF_Multgen_resyn3,UNKNOWN,TO,
256_256_U_SP_WT_KS_GenMul_resyn3,UNKNOWN,TO,
256_256_U2_WT_RC_Multgen_resyn3,UNKNOWN,TO,
256_256_U2_DT_KS_Multgen_resyn3,UNKNOWN,TO,
256_256_U_SP_CWT_KS_GenMul_resyn3,UNKNOWN,TO,
256_256_U_SP_CWT_BK_GenMul_resyn3,UNKNOWN,TO,
256_256_U_SP_AR_BK_GenMul_resyn3,UNKNOWN,TO,
256_256_U2_WT_JCA_Multgen_resyn3,UNKNOWN,TO,
256_256_U1_4to2_JCA_Multgen_resyn3,UNKNOWN,TO,
256_256_U2_WT_HCA_Multgen_resyn3,UNKNOWN,TO,
256_256_U2_DT_JCA_Multgen_resyn3,UNKNOWN,TO,
256_256_U_SP_CWT_SE_GenMul_resyn3,UNKNOWN,TO,
256_256_U_SP_WT_LF_GenMul_resyn3,UNKNOWN,TO,
256_256_U1_WT_LF_Multgen_resyn3,UNKNOWN,TO,
256_256_U2_WT_LF_Multgen_resyn3,UNKNOWN,TO,
256_256_U2_4to2_LF_Multgen_resyn3,UNKNOWN,TO,
256_256_U1_4to2_LF_Multgen_resyn3,UNKNOWN,TO,
256_256_U2_4to2_KS_Multgen_resyn3,UNKNOWN,TO,
256_256_U1_4to2_KS_Multgen_resyn3,UNKNOWN,TO,
256_256_U_SP_CWT_LF_GenMul_resyn3,UNKNOWN,TO,
256_256_U2_4to2_RC_Multgen_resyn3,UNKNOWN,TO,
256_256_U1_DT_HCA_Multgen_resyn3,UNKNOWN,TO,
256_256_U1_WT_JCA_Multgen_resyn3,UNKNOWN,TO,
256_256_U1_DT_KS_Multgen_resyn3,UNKNOWN,TO,
